a_id,collection_date,age_at_collection_yrs,sn_at_collection,sex,health_status,surrendered,temperament,parasite,nemex_1,nemex_2,nemex_3,nemex_dose_number,ponazuril_dose_number,panacur_dose_number,age_group,parasite_type,results
A323434,2025-09-02,1.0944444444444446,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323496,2025-09-02,2.088888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323496,2025-09-02,2.088888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323496,2025-09-02,2.088888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323496,2025-09-02,2.088888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-07-30,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323535,2025-09-03,0.7833333333333333,Fixed,spayed_female,healthy,FALSE,social,TRUE,2025-07-29,2025-08-20,NA,2,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323535,2025-09-03,0.7833333333333333,Fixed,spayed_female,healthy,FALSE,social,TRUE,2025-07-29,2025-08-20,NA,2,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,TRUE
A323535,2025-09-03,0.7833333333333333,Fixed,spayed_female,healthy,FALSE,social,TRUE,2025-07-29,2025-08-20,NA,2,0,0,Adult (> 6 months),sarco_like,TRUE
A323535,2025-09-03,0.7833333333333333,Fixed,spayed_female,healthy,FALSE,social,TRUE,2025-07-29,2025-08-20,NA,2,0,0,Adult (> 6 months),toxoplasma,FALSE
A323653,2025-09-02,3.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-03,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323653,2025-09-02,3.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-03,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323653,2025-09-02,3.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-03,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323653,2025-09-02,3.077777777777778,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-03,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323682,2025-09-02,2.075,Fixed,neutered_male,sick,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323682,2025-09-02,2.075,Fixed,neutered_male,sick,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323682,2025-09-02,2.075,Fixed,neutered_male,sick,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323682,2025-09-02,2.075,Fixed,neutered_male,sick,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323692,2025-09-02,2.075,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323692,2025-09-02,2.075,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323692,2025-09-02,2.075,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323692,2025-09-02,2.075,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-05,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323815,2025-09-03,4.563888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-10,NA,NA,1,0,0,Adult (> 6 months),toxocara_roundworms,FALSE
A323815,2025-09-03,4.563888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-10,NA,NA,1,0,0,Adult (> 6 months),cystoisospora_felis_coccidia,FALSE
A323815,2025-09-03,4.563888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-10,NA,NA,1,0,0,Adult (> 6 months),sarco_like,FALSE
A323815,2025-09-03,4.563888888888889,Fixed,spayed_female,healthy,FALSE,social,FALSE,2025-08-10,NA,NA,1,0,0,Adult (> 6 months),toxoplasma,FALSE
A323859,2025-09-01,0.3888888888888889,Intact,female,other,FALSE,social,FALSE,2025-08-11,NA,NA,1,1,0,Juvenile (3-6 months),toxocara_roundworms,FALSE
A323859,2025-09-01,0.3888888888888889,Intact,female,other,FALSE,social,FALSE,2025-08-11,NA,NA,1,1,0,Juvenile (3-6 months),cystoisospora_felis_coccidia,FALSE
A323859,2025-09-01,0.3888888888888889,Intact,female,other,FALSE,social,FALSE,2025-08-11,NA,NA,1,1,0,Juvenile (3-6 months),sarco_like,FALSE
A323859,2025-09-01,0.3888888888888889,Intact,female,other,FALSE,social,FALSE,2025-08-11,NA,NA,1,1,0,Juvenile (3-6 months),toxoplasma,FALSE
A323922,2025-09-03,0.34444444444444444,Fixed,female,other,FALSE,social,TRUE,2025-08-14,NA,NA,1,0,0,Juvenile (3-6 months),toxocara_roundworms,FALSE
A323922,2025-09-03,0.34444444444444444,Fixed,female,other,FALSE,social,TRUE,2025-08-14,NA,NA,1,0,0,Juvenile (3-6 months),cystoisospora_felis_coccidia,TRUE
A323922,2025-09-03,0.34444444444444444,Fixed,female,other,FALSE,social,TRUE,2025-08-14,NA,NA,1,0,0,Juvenile (3-6 months),sarco_like,FALSE
A323922,2025-09-03,0.34444444444444444,Fixed,female,other,FALSE,social,TRUE,2025-08-14,NA,NA,1,0,0,Juvenile (3-6 months),toxoplasma,FALSE
